name,city,state,lat,lng
Voorhees,Voorhees,NJ,39.8549,-74.9837
Dover/Rockaway,Dover,NJ,40.9032,-74.5651
Marlton,Marlton,NJ,39.8616,-74.921
Woodland Park,Woodland Park,NJ,40.8844,-74.2076
Yonkers,Yonkers,NY,40.9397,-73.8855
Van Dam Street,Long Island City,NY,40.7388,-73.935
Northern Blvd & Honeywell St,Long Island City,NY,40.7517,-73.9324
Gold Street,Brooklyn,NY,40.6965,-73.9831
Utica Avenue,Brooklyn,NY,40.6345,-73.9293
Melville,Melville,NY,40.7947,-73.4165
Raleigh/Westgate & Glenwood Av,Raleigh,NC,35.9016,-78.7642
Raleigh/Capital Bl &Oak Forest,Raleigh,NC,35.8622,-78.5808
Cary/SW Cary Pkwy & N Salem St,Cary,NC,35.7609,-78.8233
Garner / Wade Ave & Hwy 70,Garner,NC,35.7023,-78.5985
Morrisville / Chapel Hill Rd,Morrisville,NC,35.8143,-78.8226
Raleigh/ Atlantic & E.Milbrook,Raleigh,NC,35.8422,-78.6009
Greensboro/N ChimnyRk&Friendly,Greensboro,NC,36.0843,-79.9254
Raleigh/Glenwood&EbenezerChrch,Raleigh,NC,35.8863,-78.7471
Raleigh/Poole Rd&South NewHope,Raleigh,NC,35.7681,-78.5621
Raleigh/S.Wilmington St& Tryon,Raleigh,NC,35.7286,-78.6488
Charlotte/Monroe Rd & Wendover,Charlotte,NC,35.2004,-80.7977
Beaverton / Hwy 217 & Allen Bl,Beaverton,OR,45.4757,-122.792
Gresham / Hogan Dr,Gresham,OR,45.5152,-122.412
Hillsboro/Tualatin VlyHwy&30th,Hillsboro,OR,45.5034,-122.952
West Chester/W-ChesterPike&202,West Chester,PA,39.9682,-75.5678
Airport,Philadelphia,PA,39.9097,-75.2316
Oxford Valley,Fairless Hills,PA,40.1841,-74.8581
Valley Forge,Berwyn,PA,40.0672,-75.4507
Fairfax/Burke-Guinea & Falmead,Fairfax,VA,38.7989,-77.2929
Richmond / Midlothian Turnpike,Richmond,VA,37.5067,-77.5838
