PROPERTY_NUM,PROPERTY_NAME,ADDRESS,CITY,STATE,ZIP,LATITUDE,LONGITUDE
NSA #00732,RightSpace Storage | County St,3129 County St,Somerset,MA,02726,41.774306,-71.13837
NSA #01006,iStorage | Coleman Rd,9 Coleman Rd,Southampton,MA,01073,42.253088,-72.694608
NSA #01040,iStorage | College Hwy,15 College Hwy,Southampton,MA,01073,42.251734,-72.697974
NSA #00971,iStorage | Taylor St,340 Taylor St,Springfield,MA,01105,42.111159,-72.585597
NSA #00689,iStorage | Main St,470 Main St,Tewksbury,MA,01876,42.620062,-71.254644
NSA #00733,RightSpace Storage | Milford St,226 Milford St,Upton,MA,01568,42.155588,-71.575297
NSA #00617,iStorage | Doris Rd,1096 Doris Rd,Auburn Hills,MI,48326,42.655642,-83.240773
NSA #00626,iStorage | E 10 Mile Rd,6775 E 10 Mile Rd,Center Line,MI,48015,42.478312,-83.03555
NSA #00619,iStorage | Hall Rd,20772 Hall Rd,Clinton Township,MI,48038,42.62721,-82.914222
NSA #00620,iStorage | Garfield Rd,41250 Garfield Rd,Clinton Township,MI,48038,42.600927,-82.950845
NSA #00621,iStorage | Romeo Plank Rd,44650 Romeo Plank Rd,Clinton Township,MI,48038,42.625287,-82.934037
NSA #00623,iStorage | Groesbeck Hwy,36261 Groesbeck Hwy,Clinton Township,MI,48035,42.56435,-82.917841
NSA #00630,iStorage | Kean St,23954 Kean St,Dearborn,MI,48124,42.299201,-83.270581
NSA #00631,iStorage | Ann Arbor Trail,24579 Ann Arbor Trail,Dearborn Heights,MI,48127,42.349539,-83.281114
NSA #00627,iStorage | 8 Mile Rd,14907 8 Mile Rd,Eastpointe,MI,48021,42.450639,-82.969183
NSA #00635,iStorage | Grand River Ave,28650 Grand River Ave,Farmington Hills,MI,48336,42.445743,-83.329043
NSA #00636,iStorage | Sinacola,24500 Sinacola,Farmington Hills,MI,48335,42.470986,-83.420369
NSA #00637,iStorage | W Marshall St,181 W Marshall St,Ferndale,MI,48220,42.454294,-83.131979
NSA #00634,iStorage | Howard St,1782 Howard St,Lincoln Park,MI,48146,42.253324,-83.183908
NSA #00633,iStorage | Farmington Rd,11960 Farmington Rd,Livonia,MI,48150,42.37184,-83.370402
NSA #00632,iStorage | Telegraph Rd,14433 Telegraph Rd,Redford,MI,48239,42.392113,-83.277108
NSA #00618,iStorage | Crooks Rd,2570 Crooks Rd,Rochester Hills,MI,48309,42.643321,-83.177461
NSA #00625,iStorage | 12 Mile Rd,15390 12 Mile Rd,Roseville,MI,48066,42.508709,-82.965259
NSA #00624,iStorage | Cornillie Dr,20055 Cornillie Dr,Roseville,MI,48066,42.52071,-82.914049
NSA #00638,iStorage | Link Rd,20945 Link Rd,Southfield,MI,48033,42.444305,-83.281292
NSA #00639,iStorage | Metropolitan Pkwy,6550 Metro Pkwy,Sterling Heights,MI,48312,42.564518,-83.042876
NSA #00622,iStorage | Pontiac Dr,1782 Pontiac Dr,Sylvan Lake,MI,48320,42.618834,-83.322893
NSA #00629,iStorage | Seaway Dr,15301 Seaway Dr,Taylor,MI,48180,42.193159,-83.242356
NSA #00640,iStorage | E Big Beaver Rd,1320 E Big Beaver Rd,Troy,MI,48083,42.559769,-83.120509
NSA #00628,iStorage | Groesbeck Hwy,20979 Groesbeck Hwy,Warren,MI,48089,42.451415,-83.00225
NSA #00714,iStorage | Beck Rd,30320 Beck Rd,Wixom,MI,48393,42.51584,-83.516308
NSA #00544,iStorage | Flanders St NE,10250 Flanders St NE,Blaine,MN,55449,45.155607,-93.196429
NSA #00641,iStorage | Ladybird Ln,801 Ladybird Ln,Burnsville,MN,55337,44.779106,-93.291274
NSA #00642,iStorage | University Ave NW,9154 University Ave NW,Coon Rapids,MN,55448,45.137368,-93.268198
NSA #00643,iStorage | Old Sibley Memorial Hwy,4025 Old Sibley Memorial Hwy,Eagan,MN,55122,44.811803,-93.22221
NSA #00545,iStorage | Carmen Ave E,6311 Carmen Ave E,Inver Grove Heights,MN,55076,44.857617,-93.041463
NSA #00644,iStorage | Hiawatha Ave,3601 Hiawatha Ave,Minneapolis,MN,55406,44.936822,-93.229926
NSA #00645,iStorage | Hiawatha Ave,4325 Hiawatha Ave,Minneapolis,MN,55406,44.924523,-93.221445
NSA #00589,iStorage | 13th Ave E,8620 13th Ave E,Shakopee,MN,55379,44.782179,-93.406117
NSA #00646,iStorage | Cedar Lk Rd S,5605 Cedar Lk Rd S,St Louis Park,MN,55416,44.962378,-93.351575
NSA #00647,iStorage | Hwy 61 N,3238 Hwy 61 N,Vadnais Heights,MN,55110,45.039029,-93.039479
NSA #00648,iStorage | Weir Dr,881 Weir Dr,Woodbury,MN,55125,44.934804,-92.963008
NSA #00710,iStorage | E Reed Rd,2201 E Reed Rd,Greenville,MS,38703,33.384076,-91.021718
NSA #00517,iStorage | N Oak Trafficway,6810 N Oak Trafficway,Gladstone,MO,64118,39.218018,-94.577379
NSA #00515,iStorage | Troost Ave,8901 Troost Ave,Kansas City,MO,64131,38.964923,-94.576604
NSA #00518,iStorage | Southwest Blvd,2748 Southwest Blvd,Kansas City,MO,64108,39.07784,-94.601505
NSA #00603,iStorage | N Green Hills Rd,8331 N Green Hills Rd,Kansas City,MO,64151,39.24506,-94.630392
NSA #00610,iStorage | MO-45,10875 MO-45,Parkville,MO,64152,39.209442,-94.70582
NSA #00469,iStorage | US-50,3579 US-50,Carson City,NV,89701,39.176534,-119.72778
NSA #00468,iStorage | Fairview Dr,1179 Fairview Dr,Carson City,NV,89701,39.148878,-119.75509
NSA #00832,iStorage | S Carson Meadow Dr Suite 40,333 S Carson Meadow Dr Suite 40,Carson City,NV,89701,39.161975,-119.755528
NSA #00866,RightSpace Storage | Smoke Ranch Rd,5900 Smoke Ranch Rd,Las Vegas,NV,89108,36.203574,-115.222028
NSA #00864,RightSpace Storage | W Sirius Ave,3350 W Sirius Ave,Las Vegas,NV,89102,36.133933,-115.185639
NSA #00863,RightSpace Storage | W Cheyenne Ave,5000 W Cheyenne Ave,Las Vegas,NV,89130,36.217916,-115.209904
NSA #00862,RightSpace Storage | E Tropicana Ave,1745 E Tropicana Ave,Las Vegas,NV,89119,36.100288,-115.12937
NSA #00861,RightSpace Storage | W Sahara Ave,8140 W Sahara Ave,Las Vegas,NV,89117,36.144868,-115.268678
NSA #00860,RightSpace Storage | W Robindale Rd,6960 W Robindale Rd,Las Vegas,NV,89113,36.04903,-115.244407
NSA #00780,RightSpace Storage | E Sahara Ave,4375 E Sahara Ave,Las Vegas,NV,89104,36.143703,-115.079381
NSA #00742,RightSpace Storage | Westwood Dr,3105 Westwood Dr,Las Vegas,NV,89109,36.133324,-115.17873
NSA #00741,RightSpace Storage | N Pecos Rd,3043 N Pecos Rd,Las Vegas,NV,89115,36.215563,-115.09954
NSA #00740,RightSpace Storage | N Lamb Blvd,1675 N Lamb Blvd,Las Vegas,NV,89115,36.189822,-115.080567
NSA #00739,RightSpace Storage | Vegas Dr,2600 Vegas Dr,Las Vegas,NV,89106,36.189045,-115.176269
NSA #00735,RightSpace Storage | W Flamingo Rd,6740 W Flamingo Rd,Las Vegas,NV,89103,36.11568,-115.239053
NSA #00734,RightSpace Storage | Sunset Rd,3921 Sunset Rd,Las Vegas,NV,89120,36.070583,-115.090045
NSA #00575,iStorage | E Prater Way,275 E Prater Way,Sparks,NV,89431,39.540074,-119.739377
NSA #00798,RightSpace Storage | Caldwell Dr,6 Caldwell Dr,Amherst,NH,03031,42.807416,-71.573107
NSA #00785,RightSpace Storage | NH-3A,793 NH-3A,Bow,NH,03304,43.163415,-71.510967
NSA #00777,RightSpace Storage | NH-125,321 NH-125,Brentwood,NH,03833,42.998253,-71.078608
NSA #00793,RightSpace Storage | Windham Rd,125 Windham Rd,Derry,NH,03038,42.845973,-71.304189
NSA #00786,RightSpace Storage | Knox Marsh Rd,221 Knox Marsh Rd,Dover,NH,03820,43.179186,-70.909117
NSA #01166,RightSpace Storage | Sumner Dr,30 Sumner Dr,Dover,NH,03820,43.181099,-70.901869
NSA #01169,RightSpace Storage | Methodist Hill Rd,780 Methodist Hill Rd,Enfield,NH,03748,43.637002,-72.215495
NSA #01170,RightSpace Storage | 10 Tower Ln,10 Tower Ln,Goffstown,NH,03045,43.010776,-71.507257
NSA #00796,RightSpace Storage | 13 Tower Ln,13 Tower Ln,Goffstown,NH,03045,43.011623,-71.505136
NSA #01168,RightSpace Storage | Sutton Circle,5 Sutton Circle,Hooksett,NH,03106,43.03543,-71.413875
NSA #00795,RightSpace Storage | Londonderry Turnpike,180 Londonderry Turnpike,Hooksett,NH,03106,43.035645,-71.414487
NSA #00800,RightSpace Storage | Central St,193 Central St,Hudson,NH,03051,42.767089,-71.413401
NSA #00778,RightSpace Storage | Riverside Dr,42 Riverside Dr,Lebanon,NH,03766,43.637002,-72.215495
NSA #00794,RightSpace Storage | Mohawk Dr,7 Mohawk Dr,Londonderry,NH,03053,42.848259,-71.357602
NSA #00792,RightSpace Storage | Londonderry Rd,9 Londonderry Rd,Londonderry,NH,03053,42.874823,-71.338859
NSA #00799,RightSpace Storage | Daniel Webster Hwy,403 Daniel Webster Hwy,Merrimack,NH,03054,42.856153,-71.490383
NSA #00797,RightSpace Storage | Northwest Blvd,15 Northwest Blvd,Nashua,NH,03063,42.801698,-71.543581
NSA #00784,RightSpace Storage | Riverwood Dr,714 Riverwood Dr,Pembroke,NH,03275,43.194236,-71.483539
NSA #01167,RightSpace Storage | Main St,390 Main St,Somersworth,NH,03878,43.244832,-70.851286
NSA #00801,RightSpace Storage | White Mountain Hwy,1683 White Mountain Hwy,Wakefield,NH,03872,43.533104,-71.029819
NSA #00438,iStorage | N Black Horse Pike,841 N Black Horse Pike,Blackwood,NJ,08012,39.813442,-75.066953
NSA #00683,iStorage | Grove St,211 Grove St,Bloomfield,NJ,07003,40.779775,-74.188682
NSA #00954,iStorage | Love Ln,40 Love Ln,Bridgeton,NJ,08302,39.471118,-75.213479
NSA #00489,iStorage | Van Veghten Dr,22 Van Veghten Dr,Bridgewater,NJ,08807,40.558805,-74.589139
NSA #00471,iStorage | Sunset Rd,902 Sunset Rd,Burlington,NJ,08016,40.050583,-74.87483
NSA #00477,iStorage | Mitchell Ave,555 Mitchell Ave,Burlington,NJ,08016,40.076649,-74.847437
NSA #00684,iStorage | County Rd,460 County Rd,Cliffwood,NJ,07721,40.44317,-74.23116
NSA #00956,iStorage | NJ-23,75 NJ-23,Hamburg,NJ,07419,41.174078,-74.586857
NSA #01039,iStorage | Greenwood Lake Turnpike,1869 Greenwood Lake Turnpike,Hewitt,NJ,07421,41.144468,-74.346994
